Gösterge,Pay (%),Yıl,Bölge,Kaynak
Zorunlu asgari SAF payı,2.0,2025,AB havalimanları,https://transport.ec.europa.eu/news-events/news/new-report-shows-strong-progress-sustainable-aviation-fuel-saf-availability-across-eu-2026-09-17_en
Bildirilen SAF tedarik payı,2.8,2025,AB havalimanları,https://transport.ec.europa.eu/news-events/news/new-report-shows-strong-progress-sustainable-aviation-fuel-saf-availability-across-eu-2026-09-17_en
